Comment,Designator,Footprint,LCSC
1KΩ,"R10,R11,R13,R14,R16,R17,R19,R2,R20,R22,R4,R5,R7,R8",R_0402_1005Metric,C11702
2N3904,"Q1,Q2,Q3,Q4,Q5,Q6,Q7",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-TR,C18536
LED,"D1,D11,D13,D3,D5,D7,D9",D_0805_2012Metric,C2297
10KΩ,"R12,R15,R18,R21,R3,R6,R9",R_0402_1005Metric,C25744
4.7KΩ,R1,R_0402_1005Metric,C25900
1N4148,"D10,D12,D14,D2,D4,D6,D8",D_SOD-123,C81598
Conn_01x03_Male,J4,PinHeader_1x03_P2.54mm_Vertical,
RS PRO 5V 2A,PS1,RS PRO 5V 2A,
Screw_Terminal_01x04,J11,TerminalBlock_bornier-4_P5.08mm,
Conn_01x03_Male,J8,PinHeader_1x03_P2.54mm_Vertical,
G6DN-1A-L_DC5,K6,G6DN-1A-L,
Conn_01x03_Male,J9,PinHeader_1x03_P2.54mm_Vertical,
ESP32-POE,U1,ESP32-POE,
Conn_01x04_Male,J2,PinHeader_1x04_P2.54mm_Vertical,
USB_A,J3,875200010BLF,
G6DN-1A-L_DC5,K2,G6DN-1A-L,
Conn_01x03_Male,J1,PinHeader_1x03_P2.54mm_Vertical,
Screw_Terminal_01x04,J12,TerminalBlock_bornier-4_P5.08mm,
Transformer_1P_2S,T1,VCM36212,
Screw_Terminal_01x06,J13,TerminalBlock_bornier-6_P5.08mm,
Conn_01x03_Male,J5,PinHeader_1x03_P2.54mm_Vertical,
G6DN-1A-L_DC5,K7,G6DN-1A-L,
Conn_01x03_Male,J7,PinHeader_1x03_P2.54mm_Vertical,
G6DN-1A-L_DC5,K3,G6DN-1A-L,
G6DN-1A-L_DC5,K5,G6DN-1A-L,
Conn_01x03_Male,J6,PinHeader_1x03_P2.54mm_Vertical,
G6DN-1A-L_DC5,K4,G6DN-1A-L,
G6DN-1A-L_DC5,K1,G6DN-1A-L,
Screw_Terminal_01x02,J10,TerminalBlock_bornier-2_P5.08mm,
